team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
"University of Massachusetts, Dartmouth",1,1,1,3,0.5,60.0,47.5,1,1,1,0,52.596538033751024
University of Southern Maine,1,0,0,1,1.0,25.0,0.0,1,0,0,0,52.49145566421364
University of New England,2,1,0,3,0.6666666666666666,50.0,66.66666666666667,2,1,0,0,52.47763429660042
Occidental College,1,0,0,1,1.0,0.0,50.0,1,0,0,0,52.453576028927294
DePauw University,3,0,0,3,1.0,0.0,91.66666666666667,3,0,0,0,52.4455501932862
Johnson & Wales University (Providence),1,0,1,2,0.75,50.0,41.666666666666664,1,0,1,0,52.43589416425738
Lesley University,0,1,1,2,0.25,100.0,100.0,0,1,1,0,52.313762389380756
Swarthmore College,2,0,1,3,0.8333333333333334,50.0,66.66666666666667,2,0,1,0,52.30640020171099
Salem College (North Carolina),0,0,1,1,0.5,100.0,50.0,0,0,1,0,52.22258126333955
LeTourneau University,0,0,1,1,0.5,50.0,0.0,0,0,1,0,52.22230048245096
Babson College,0,0,1,1,0.5,50.0,0.0,0,0,1,0,52.09240373195541
Rowan University,2,0,0,2,1.0,0.0,83.33333333333333,2,0,0,0,52.0717974530738
State University of New York at Potsdam,1,0,1,2,0.75,25.0,41.666666666666664,1,0,1,0,52.02577041353109
Calvin University,2,0,0,2,1.0,0.0,87.5,2,0,0,0,51.97273689940299
Hope College,2,0,0,2,1.0,0.0,87.5,2,0,0,0,51.97273689940299
Dickinson College,1,0,1,2,0.75,50.0,37.5,1,0,1,0,51.96323472500353
St. Mary's College of Maryland,2,0,1,3,0.8333333333333334,16.666666666666664,51.666666666666664,2,0,1,0,51.867313050283066
Berry College,2,1,0,3,0.6666666666666666,0.0,72.22222222222221,2,1,0,0,51.851826009407
Bowdoin College,1,0,0,1,1.0,0.0,33.33333333333333,1,0,0,0,51.78710210719677
Alfred University,2,1,0,3,0.6666666666666666,66.66666666666666,61.11111111111111,2,1,0,0,51.78103302533854
University of Mary Hardin-Baylor,1,0,1,2,0.75,50.0,62.5,1,0,1,0,51.73313001460801
St. Lawrence University,0,1,2,3,0.3333333333333333,50.0,75.0,0,1,2,0,51.66834189764768
State University of New York at Cortland,1,1,0,2,0.5,100.0,75.0,1,1,0,0,51.64270944056005
Montclair State University,1,0,1,2,0.75,33.33333333333333,56.25,1,0,1,0,51.635973570444804
Illinois College,2,0,1,3,0.8333333333333334,50.0,100.0,2,0,1,0,51.5465293444241
Clark University (Massachusetts),2,0,0,2,1.0,16.666666666666664,75.0,2,0,0,0,51.502716568803976
Methodist University,0,0,2,2,0.5,100.0,75.0,0,0,2,0,51.488056972384925
Curry College,2,0,0,2,1.0,0.0,58.33333333333333,2,0,0,0,51.42892180131484
State University of New York at Geneseo,0,0,2,2,0.5,50.0,75.0,0,0,2,0,51.30182687529967
Dominican University (Illinois),1,1,0,2,0.5,66.66666666666666,41.666666666666664,1,1,0,0,51.29428466339982
Edgewood University,2,1,0,3,0.6666666666666666,83.33333333333334,53.333333333333336,2,1,0,0,51.27488779876185
Rhodes College,2,0,1,3,0.8333333333333334,0.0,66.66666666666667,2,0,1,0,51.17205912792259
Hartwick College,1,0,1,2,0.75,50.0,25.0,1,0,1,0,51.077607635834816
University of Massachusetts Boston,2,0,0,2,1.0,0.0,64.58333333333333,2,0,0,0,51.071612980180184
Wilkes University,1,1,0,2,0.5,75.0,50.0,1,1,0,0,51.061917825232854
Emmanuel College (Massachusetts),1,1,0,2,0.5,50.0,50.0,1,1,0,0,50.95826011291121
Alma College,1,1,0,2,0.5,75.0,55.0,1,1,0,0,50.93452817017955
Ohio Northern University,1,0,1,2,0.75,0.0,50.0,1,0,1,0,50.88372670069429
St. John Fisher University,1,1,0,2,0.5,25.0,80.0,1,1,0,0,50.73776101466425
California Lutheran University,1,0,1,2,0.75,0.0,75.0,1,0,1,0,50.70870798936089
McDaniel College,2,0,1,3,0.8333333333333334,0.0,75.0,2,0,1,0,50.60884133703835
University of Wisconsin-Platteville,1,1,0,2,0.5,100.0,25.0,1,1,0,0,50.57282434872208
Lancaster Bible College,1,1,0,2,0.5,100.0,25.0,1,1,0,0,50.555973694096885
University of Wisconsin-Oshkosh,1,0,1,2,0.75,0.0,75.0,1,0,1,0,50.49015138064475
University of Mount Saint Vincent,1,1,0,2,0.5,33.33333333333333,54.166666666666664,1,1,0,0,50.47670480500669
Hendrix College,1,0,0,1,1.0,0.0,50.0,1,0,0,0,50.46845421781262
Washington and Lee University,1,1,0,2,0.5,100.0,41.666666666666664,1,1,0,0,50.4210072057911
Ramapo College,1,0,1,2,0.75,50.0,66.66666666666666,1,0,1,0,50.326452980061774
Norwich University,1,0,1,2,0.75,0.0,25.0,1,0,1,0,50.30995807688604
New York University,1,1,0,2,0.5,50.0,66.66666666666666,1,1,0,0,50.285052578532316
VTSU-Johnson,0,0,1,1,0.5,50.0,0.0,0,0,1,0,50.24796330207548
"University of Pittsburgh, Greensburg",1,1,0,2,0.5,50.0,58.33333333333333,1,1,0,0,50.15573504629431
Trinity University (Texas),0,0,1,1,0.5,50.0,50.0,0,0,1,0,50.0
Pacific Lutheran University,0,0,2,2,0.5,50.0,50.0,0,0,2,0,50.0
Brooklyn College,1,1,0,2,0.5,50.0,50.0,1,1,0,0,50.0
Millsaps College,1,1,0,2,0.5,50.0,50.0,1,1,0,0,50.0
University of St. Thomas (Texas),0,0,1,1,0.5,50.0,50.0,0,0,1,0,50.0
State University of New York at New Paltz,1,1,0,2,0.5,100.0,25.0,1,1,0,0,49.85734645193904
Plymouth State University,1,1,0,2,0.5,0.0,66.66666666666666,1,1,0,0,49.84346582085465
