massey_name	ncaa_name	provisional_membership
St Scholastica	The College of St. Scholastica	
Wooster	The College of Wooster	
SUNY Fredonia	The State University of New York at Fredonia	
Olivet MI	The University of Olivet	
Thiel	Thiel College	
Thomas ME	Thomas College	
Transylvania	Transylvania University	
Trine	Trine University	
Trinity CT	Trinity College (Connecticut)	
Trinity TX	Trinity University (Texas)	
Trinity DC	Trinity Washington University	
Tufts	Tufts University	
Coast Guard	U.S. Coast Guard Academy	
Merchant Marine	U.S. Merchant Marine Academy	
Union NY	Union College (New York)	
UC Santa Cruz	"University of California, Santa Cruz"	
Chicago	University of Chicago	
Dallas Univ	University of Dallas	
Dubuque	University of Dubuque	
Hartford	University of Hartford	
La Verne	University of La Verne	
Lynchburg	University of Lynchburg	
ME Presque Isle	University of Maine at Presque Isle	
ME Farmington	"University of Maine, Farmington"	
M Hardin-Baylor	University of Mary Hardin-Baylor	
Mary Washington	University of Mary Washington	
MA Boston	University of Massachusetts Boston	
MA Dartmouth	"University of Massachusetts, Dartmouth"	
MN Morris	"University of Minnesota, Morris"	
Mt St Vincent	University of Mount Saint Vincent	
Mt Union	University of Mount Union	
U New England	University of New England	
Northwestern MN	University of Northwestern-St. Paul	
Pitt-Bradford	"University of Pittsburgh, Bradford"	
Pitt-Greensburg	"University of Pittsburgh, Greensburg"	
Puget Sound	University of Puget Sound	
Redlands	University of Redlands	
Rochester NY	University of Rochester	
St Joseph CT	University of Saint Joseph (Connecticut)	
Scranton	University of Scranton	
S Maine	University of Southern Maine	
St Thomas TX	University of St. Thomas (Texas)	
Univ Ozarks	University of the Ozarks (Arkansas)	
Valley Forge	University of Valley Forge	
WI Eau Claire	University of Wisconsin-Eau Claire	
WI LaCrosse	University of Wisconsin-La Crosse	
WI Oshkosh	University of Wisconsin-Oshkosh	
WI Platteville	University of Wisconsin-Platteville	
WI River Falls	University of Wisconsin-River Falls	
WI Stevens Pt	University of Wisconsin-Stevens Point	
WI Stout	University of Wisconsin-Stout	
WI Superior	University of Wisconsin-Superior	
WI Whitewater	University of Wisconsin-Whitewater	
Ursinus	Ursinus College	
Utica	Utica University	
Vassar	Vassar College	
Castleton	Vermont State University Castleton	
VA Wesleyan	Virginia Wesleyan University	
NVU-Johnson	VTSU-Johnson	
Warren Wilson	Warren Wilson College	
Wartburg	Wartburg College	
Wash & Jeff	Washington and Jefferson College	
Washington & Lee	Washington and Lee University	
Washington MD	Washington College (Maryland)	
Washington StL	Washington University in St. Louis	
Waynesburg	Waynesburg University	
Webster	Webster University	
Wellesley	Wellesley College	
Wentworth Tech	Wentworth Institute of Technology	
Wesleyan GA	Wesleyan College (Georgia)	
Wesleyan CT	Wesleyan University (Connecticut)	
W Connecticut	Western Connecticut State University	
W New England	Western New England University	
Westfield St	Westfield State University	
Westminster MO	Westminster College (Missouri)	
Westminster PA	Westminster College (Pennsylvania)	
Wheaton IL	Wheaton College (Illinois)	
Wheaton MA	Wheaton College (Massachusetts)	
Whitman	Whitman College	
Whittier	Whittier College	
Whitworth	Whitworth University	
Widener	Widener University	
Wilkes	Wilkes University	
Willamette	Willamette University	
Wm Paterson	William Paterson University of New Jersey	
Peace	William Peace University	
Williams	Williams College	
Wilmington OH	Wilmington College (Ohio)	
Wilson	Wilson College	
WI Lutheran	Wisconsin Lutheran College	
Wittenberg	Wittenberg University	
Worcester Tech	Worcester Polytechnic Institute	
Worcester St	Worcester State University	
Yeshiva	Yeshiva University	
York NY	York College (New York)	
York PA	York College (Pennsylvania)	
